Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C,
"C2, C3",0603,2,1u,
C4,0603,1,100n,
"C5, C7",CP_Radial_D5.0mm_P2.00mm,2,4.7uF,
"C6, C8",0603,2,10nF,
C9,CP_Radial_D16.0mm_P7.50mm,1,C_Polarized,
"J1, J2, J3",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Pin,
J4,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Pin,
J5,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J7,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,1,Conn_01x02_Pin,
L1,L_Abracon_ASPI-0425,1,L,
"R1, R11, R12, R2, R3, R5",1206,6,100k,
"R13, R14",1206,2,0,
"R15, R16",1206,2,4.7k,
R4,1206,1,7.32M (better smaller),
R6,1206,1,"5.61M Ohm (min, if larger voltage drops)",
R7,1206,1,3.17M,
R8,1206,1,5.07M,
R9,1206,1,4.76M,
U1,ESP-12E,1,ESP-12F,
U2,QFN50P350X350X100-21N,1,BQ25505RGRT,
U3,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A20xxxDQN,
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
