Designator,Mid X,Mid Y,Rotation,Layer
C1,140.25,-115.25,270.0,top
C2,156.512755,-116.725,90.0,top
C3,151.550255,-116.725,90.0,top
C4,118.0,-129.5,270.0,top
C5,151.0,-122.0,90.0,top
C6,158.5,-130.275,90.0,top
C7,151.5,-128.0,270.0,top
C8,157.0,-130.275,90.0,top
C9,165.75,-123.5,180.0,bottom
J1,117.55,-116.5,270.0,top
J2,170.5,-112.25,90.0,top
J3,163.75,-110.5,180.0,top
J4,135.5,-109.7,0.0,top
J5,152.25,-110.3,180.0,top
J7,150.0,-135.0,0.0,top
L1,157.0,-122.0,90.0,top
R1,117.0375,-122.0,0.0,top
R11,141.5375,-135.0,0.0,top
R12,115.5,-130.0,90.0,top
R13,141.5,-119.5,180.0,top
R14,141.5,-125.0,180.0,top
R15,141.5,-122.0,0.0,top
R16,141.5,-127.5,0.0,top
R2,117.0,-126.0,0.0,top
R3,141.5375,-130.0,0.0,top
R4,163.512755,-134.0,270.0,top
R5,141.5,-132.5,0.0,top
R6,161.012755,-134.0,90.0,top
R7,166.012755,-134.0,270.0,top
R8,168.512755,-134.0,90.0,top
R9,171.012755,-134.0,270.0,top
U1,129.0,-125.5,0.0,top
U2,162.012755,-128.0,0.0,top
U3,154.012755,-117.225,180.0,top
U4,142.5,-115.5,270.0,top
